NumThreads,Dim,InitTime,MulTime,Runtime
12,500,0.00343839,0.013039,0.0164774
12,500,0.00380018,0.0125384,0.0163386
12,500,0.00335181,0.011475,0.0148269
12,1000,0.00912331,0.0858888,0.0950121
12,1000,0.00919824,0.0858999,0.0950981
12,1000,0.00935265,0.0858274,0.09518
12,1000,0.00880449,0.0856158,0.0944203
12,1000,0.00874263,0.0854932,0.0942359
12,1500,0.0189373,0.283619,0.302556
12,1500,0.0194394,0.284008,0.303448
12,1500,0.0198467,0.284561,0.304407
12,1500,0.0197637,0.283632,0.303395
12,1500,0.0194846,0.284287,0.303772
12,2000,0.0396424,0.759466,0.799108
12,2000,0.0385191,0.768546,0.807065
12,2000,0.0344608,0.759665,0.794126
12,2000,0.0443825,0.760987,0.80537
12,2000,0.0381358,0.758458,0.796593
12,2500,0.0506345,1.50557,1.5562
12,2500,0.050485,1.50856,1.55905
12,2500,0.0588314,1.50658,1.56541
12,2500,0.053398,1.52397,1.57737
12,2500,0.0730384,1.54345,1.61649
14,500,0.00428361,0.0135933,0.0178769
14,500,0.00344682,0.0121914,0.0156383
14,500,0.00338054,0.0113944,0.014775
14,500,0.0033629,0.0106862,0.0140491
14,500,0.00324164,0.0101926,0.0134342
14,1000,0.00855607,0.0748097,0.0833658
14,1000,0.00916226,0.0739268,0.083089
14,1000,0.00870569,0.0743885,0.0830941
14,1000,0.00914808,0.0738536,0.0830017
14,1000,0.0102701,0.0737943,0.0840644
14,1500,0.0208196,0.246812,0.267632
14,1500,0.0196014,0.246674,0.266275
14,1500,0.022604,0.246178,0.268782
14,1500,0.0185651,0.246187,0.264753
14,1500,0.0192785,0.24579,0.265069
14,2000,0.0314027,0.651819,0.683222
14,2000,0.0334617,0.658583,0.692045
14,2000,0.0534283,0.673249,0.726677
14,2000,0.0445469,0.664521,0.709068
14,2000,0.0329427,0.652141,0.685084
14,2500,0.0631048,1.31405,1.37715
14,2500,0.0650282,1.31318,1.37821
14,2500,0.0512098,1.32621,1.37742
14,2500,0.0696721,1.32118,1.39085
14,2500,0.0522523,1.31599,1.36825
16,500,0.00398663,0.0108621,0.0148487
16,500,0.0032784,0.00998831,0.0132667
16,500,0.00370082,0.0097841,0.0134849
16,500,0.00609064,0.0087375,0.0148281
16,500,0.00324995,0.00863979,0.0118897
16,1000,0.00801777,0.065367,0.0733848
16,1000,0.00924909,0.0653995,0.0746486
16,1000,0.00997701,0.0648409,0.0748179
16,1000,0.00852805,0.0650926,0.0736207
16,1000,0.00840787,0.0653065,0.0737144
16,1500,0.0181759,0.215178,0.233354
16,1500,0.0183408,0.21626,0.234601
16,1500,0.0231884,0.216488,0.239677
16,1500,0.0188841,0.215723,0.234607
16,1500,0.0187359,0.215576,0.234312
16,2000,0.0374879,0.587838,0.625326
16,2000,0.0385712,0.585061,0.623633
16,2000,0.0351758,0.600103,0.635279
16,2000,0.0345987,0.59009,0.624688
16,2000,0.0323739,0.587929,0.620303
16,2500,0.0552332,1.22825,1.28348
16,2500,0.0551564,1.18749,1.24265
16,2500,0.0587207,1.18661,1.24533
16,2500,0.0729357,1.21659,1.28952
16,2500,0.0496783,1.18323,1.23291
18,500,0.00386072,0.00824238,0.0121031
18,500,0.00349499,0.00795436,0.0114493
18,500,0.00336808,0.00770116,0.0110692
18,500,0.00355719,0.0076531,0.0112103
18,500,0.00325681,0.00764814,0.010905
18,1000,0.00880275,0.0581847,0.0669875
18,1000,0.00873463,0.0578526,0.0665872
18,1000,0.00841721,0.057839,0.0662562
18,1000,0.00836046,0.0582963,0.0666568
18,1000,0.00883397,0.0578033,0.0666372
18,1500,0.017851,0.193549,0.2114
18,1500,0.0187778,0.193828,0.212606
18,1500,0.0183933,0.194787,0.213181
18,1500,0.0179704,0.194534,0.212504
18,1500,0.0183781,0.193896,0.212275
18,2000,0.0323925,0.539604,0.571997
18,2000,0.0317524,0.542704,0.574457
18,2000,0.0350331,0.55707,0.592103
18,2000,0.035341,0.538795,0.574136
18,2000,0.0488773,0.545891,0.594768
18,2500,0.0505205,1.13495,1.18547
18,2500,0.0606881,1.11904,1.17973
18,2500,0.048745,1.0925,1.14125
18,2500,0.0485507,1.08971,1.13826
18,2500,0.0465223,1.09015,1.13668
20,500,0.012154,0.0107255,0.0228795
20,500,0.00396434,0.00941898,0.0133833
20,500,0.00805361,0.00897498,0.0170286
20,500,0.00561931,0.00871438,0.0143337
20,500,0.00354407,0.00787919,0.0114233
20,1000,0.0143145,0.0539437,0.0682583
20,1000,0.00943275,0.0527469,0.0621796
20,1000,0.00959283,0.0522032,0.061796
20,1000,0.00963946,0.0520403,0.0616798
20,1000,0.0173497,0.0645746,0.0819243
20,1500,0.0231737,0.174028,0.197202
20,1500,0.0184701,0.177137,0.195607
20,1500,0.0239714,0.177348,0.201319
20,1500,0.0184988,0.177882,0.196381
20,1500,0.0291393,0.177931,0.20707
20,2000,0.0376129,0.498195,0.535808
20,2000,0.0428634,0.501369,0.544233
20,2000,0.0436632,0.502114,0.545777
20,2000,0.0397146,0.518924,0.558639
20,2000,0.0469903,0.506066,0.553057
20,2500,0.0583258,1.05567,1.11399
20,2500,0.0507889,1.01464,1.06543
20,2500,0.0511503,1.02394,1.07509
20,2500,0.0627418,1.07421,1.13695
20,2500,0.0484136,1.02217,1.07058
