NumThreads,Dim,InitTime,MulTime,Runtime
12,500,0.00312325,0.0157727,0.018896
12,500,0.00303323,0.0157692,0.0188025
12,500,0.00324199,0.0157051,0.0189471
12,1000,0.00861418,0.108463,0.117077
12,1000,0.0088859,0.108442,0.117328
12,1000,0.00930996,0.109013,0.118323
12,1000,0.00881922,0.108556,0.117375
12,1000,0.00977884,0.108657,0.118436
12,1500,0.0195953,0.352117,0.371712
12,1500,0.0195917,0.369722,0.389314
12,1500,0.0242188,0.370661,0.39488
12,1500,0.0191257,0.361682,0.380807
12,1500,0.0243797,0.363368,0.387748
12,2000,0.0336741,1.97014,2.00382
12,2000,0.0329102,1.97228,2.00519
12,2000,0.0340352,1.97669,2.01073
12,2000,0.0344027,1.98004,2.01444
12,2000,0.0348728,1.97922,2.01409
12,2500,0.0522303,3.6477,3.69993
12,2500,0.0524118,3.47086,3.52327
12,2500,0.0505027,3.44887,3.49937
12,2500,0.0517264,3.54714,3.59887
12,2500,0.0555349,3.49828,3.55382
14,500,0.00347293,0.013852,0.0173249
14,500,0.00382966,0.0136355,0.0174652
14,500,0.00325481,0.0135919,0.0168467
14,500,0.00319048,0.013675,0.0168655
14,500,0.00311786,0.0136267,0.0167446
14,1000,0.00913377,0.094152,0.103286
14,1000,0.00900977,0.093721,0.102731
14,1000,0.0100804,0.0935037,0.103584
14,1000,0.00847248,0.0934592,0.101932
14,1000,0.00855033,0.093421,0.101971
14,1500,0.017916,0.307825,0.325741
14,1500,0.0196562,0.30895,0.328606
14,1500,0.018575,0.306531,0.325106
14,1500,0.0236275,0.318735,0.342362
14,1500,0.0189131,0.307026,0.325939
14,2000,0.032604,1.69165,1.72425
14,2000,0.0336972,1.689,1.7227
14,2000,0.0319213,1.70296,1.73489
14,2000,0.0313548,1.71393,1.74529
14,2000,0.033145,1.68715,1.7203
14,2500,0.0511327,3.01091,3.06204
14,2500,0.0515001,3.01832,3.06982
14,2500,0.0515509,3.02567,3.07722
14,2500,0.0503269,3.00644,3.05676
14,2500,0.05143,3.01202,3.06345
16,500,0.00351047,0.012452,0.0159624
16,500,0.00392935,0.0122066,0.0161359
16,500,0.0031833,0.0121486,0.0153319
16,500,0.00313076,0.0121538,0.0152846
16,500,0.00352468,0.0124666,0.0159913
